"item_name","bullet_point","product_type","product_category","link","color","material","item_id","depth","height","width"
"Jarrón de cerámica naranja Lur","El jarrón Lur fabricado en porcelana es un elemento decorativo sencillo y funcional que te servirá para completar ese espacio que quieres decorar. De estilo vintage, este jarrón queda genial solo o en conjunto combinándolo con otros. Puedes usarlo para poner flores o como elemento ornamental.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/95-jarron-de-ceramica-naranja?channable=04a9546964003935c0","Naranja","Ceramica","IT-0014BE","8 cm","16 cm","8 cm"
"Jarrón de cerámica rosa Lur","El jarrón Lur fabricado en porcelana es un elemento decorativo sencillo y funcional que te servirá para completar ese espacio que quieres decorar. De estilo vintage, este jarrón queda genial solo o en conjunto combinándolo con otros. Puedes usarlo para poner flores o como elemento ornamental.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/96-jarron-de-ceramica-rosa?channable=04a9546964003936c1","Rosa","Ceramica","IT-0014RO","8 cm","16 cm","8 cm"
"Jarrón de cristal azul Lun","El Lun jarrón azul fabricado en cristal es un elemento decorativo de estilo moderno de original diseño que puedes integrar para decorar tu salón, comedor o recibidor. Da color y luminosidad a tu hogar con esta línea de jarrones que no dejarán indiferente a nadie.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/100-jarron-de-cristal-azul?channable=04a9546964003130300b","Azul","Cristal","IT-0019","12 cm","25 cm","12 cm"
"Jarrón de cristal azul Sun","El Sun jarrón azul fabricado en cristal es un elemento decorativo con un toque sutil y elegante. Llena de color tu hogar con su diseño de líneas modernas. Puedes ubicarlo en el recibidor, en el salón o en el comedor de tu casa aportando un estilo de lo más personal.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/101-jarron-de-cristal-azul?channable=04a9546964003130310c","Azul","Cristal","IT-0018A","15 cm","25 cm","15 cm"
"Jarrón de cerámica beige Ruge","El Ruge jarrón beige de estilo moderno es un jarrón ideal que puedes usar como una sola pieza o combinándolo con otros jarrones o accesorios. Fabricado en gres, este jarrón presenta un original diseño que aportará ese toque sofisticado que estás buscando.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/102-jarron-de-ceramica-beige?channable=04a9546964003130320d","Beige","Ceramica","IT-0020BE","16 cm","21 cm","16 cm"
"Jarrón de cerámica gris oscuro Ruge","El Ruge jarrón de color gris oscuro está fabricado en gres. De estilo moderno, este jarrón es ideal para completar la decoración de tu hogar aportando personalidad y sofisticación. Combínalo con el resto de jarrones que puedes encontrar en nuestra página.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/103-jarron-de-ceramica-gris-oscuro?channable=04a9546964003130330e","Gris Oscuro","Ceramica","IT-0020GO","16 cm","21 cm","16 cm"
"Jarrón de cerámica beige Luge","El Luge jarrón de gres en color beige es un jarrón de estilo vintage que completará con elegancia la decoración de tu casa. Está fabricado con un  material resistente que aportará un toque de personalidad a tus muebles. Lo puedes utilizar como elemento ornamental o colocándole flores.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/104-jarron-de-ceramica-beige?channable=04a9546964003130340f","Beige","Ceramica","IT-0021BE","15 cm","30 cm","15 cm"
"Jarrón de cerámica beige Bone","El Bone jarrón fabricado en gres de color beige es un bonito jarrón de estilo vintage perfecto para decorar tus estancias. De formas sencillas, este jarrón te servirá para dar ese toque especial que estás buscando.  Lo puedes utilizar solo o combinándolo con otros jarrones que puedes encontrar en nuestra página.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/106-jarron-de-ceramica-beige?channable=04a95469640031303611","Beige","Ceramica","IT-0022BE","16 cm","28 cm","16 cm"
"Jarrón de cristal ámbar Glove","El Glove jarrón de cristal en color ámbar es un jarrón de estilo moderno con formas redondeadas. Es un complemento ideal para decorar y para combinar con otros accesorios. Sin duda aportará un toque de luminosidad a tu mueble.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/111-jarron-de-cristal-ambar?channable=04a9546964003131318d","Mostaza","Cristal","IT-0026","10 cm","15 cm","10 cm"
"Jarrón de cristal ámbar Tube","El Tube jarrón de cristal en color ámbar es un jarrón de estilo moderno que podrás combinar con otros elementos decorativos gracias a su gran versatilidad. Su color ámbar te permitirá crear ambientes luminosos y sofisticados. Se trata de un complemento decorativo ideal que nunca falla.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/112-jarron-de-cristal-ambar?channable=04a9546964003131328e","Mostaza","Cristal","IT-0027","6 cm","18 cm","6 cm"
"Jarrón de cerámica verde Round","El Round jarrón verde de porcelana es un jarrón de estilo natural que completará la decoración de tu casa. Tiene un diseño sencillo de líneas elegantes que te ayudará a decorar tu casa completándolo con flores o bien solo. Combínalo con el resto de jarrones que desde Klast te ofrecemos.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/114-jarron-de-ceramica-verde?channable=04a95469640031313490","Verde","Ceramica","IT-0051","14 cm","16 cm","10 cm"
"Jarron de cerámica marrón Yure","El Yure jarrón de gres en color marrón es un jarrón de estilo vintage que completará con elegancia la decoración de tu casa. Está fabricado con un  material resistente que aportará un toque de personalidad a tus muebles. Lo puedes utilizar como elemento ornamental o colocándole flores.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/115-jarron-de-ceramica-marron?channable=04a95469640031313591","Marrón","Ceramica","IT-0055M","15 cm","31 cm","15 cm"
"Jarrón de cerámica beige Yure","El Yure jarrón de gres en color beige es un jarrón de estilo vintage que completará con elegancia la decoración de tu casa. Está fabricado con un  material resistente que aportará un toque de personalidad a tus muebles. Lo puedes utilizar como elemento ornamental o colocándole flores.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/116-jarron-de-ceramica-beige?channable=04a95469640031313692","Beige","Ceramica","IT-0055BE","15 cm","31 cm","15 cm"
"Jarrón de cerámica beige Yure","El Yure jarrón en color beige de estilo vintage es una apuesta ganadora. Fabricado en gres, este jarrón está disponible en dos colores. Sin duda llenará de tendencia tu espacio. Y es que un jarrón es siempre un elemento decorativo indispensable. ¡Elige el tuyo!","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/117-jarron-de-ceramica-beige?channable=04a95469640031313793","Beige","Ceramica","IT-0056BE","16 cm","15 cm","16 cm"
"Jarrón de cerámica azul Marin","El Marin jarrón azul de cerámica es un jarrón de estilo vintage que te ayudará a decorar aportando un toque de personalidad a tu hogar. 
Lo puedes combinar con otros jarrones que encontrarás en Klast y crear así tu propio estilo. Solo o acompañado ¡Tú decides!","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/119-jarron-de-ceramica-azul?channable=04a95469640031313995","Azul","Ceramica","IT-0031","11 cm","20 cm","11 cm"
"Jarrón de cerámica azul Tarin","El Tarin jarrón azul de cerámica es un elemento ideal para completar la decoración de tu hogar. Versátil y funcional, lo puedes utilizar como elemento ornamental o bien como un bonito florero. Un complemento ideal que no puede faltar. Acierto seguro.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/120-jarron-de-ceramica-azul?channable=04a9546964003132300c","Azul","Ceramica","IT-0032","12 cm","11 cm","12 cm"
"Jarrón de cerámica verde Ror","El Ror jarrón verde de estilo vintage aportará un toque de elegancia y sofisticación a tu hogar. Sus formas redondeadas y sencillas dan ese toque personal que estás buscando. Sin duda un accesorio decorativo que llenará de vida tu estancia.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/121-jarron-de-ceramica-verde?channable=04a9546964003132310d","Verde","Ceramica","IT-0033","13 cm","21 cm","13 cm"
"Jarrón de cerámica marrón Yure","El Yure jarrón de color marrón y estilo vintage te ayudará a decorar cualquier estancia de tu hogar. Está fabricado en gres, material de gran resistencia y versatilidad. Puedes utilizarlo tanto como jarrón como macetero. Lo puedes combinar con el mismo jarrón en color beige o con cualquier otro que puedas encontrar en nuestra página.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/122-jarron-de-ceramica-marron?channable=04a9546964003132320e","Marrón","Ceramica","IT-0056M","16 cm","15 cm","16 cm"
"Jarrón de cristal transparente Rist","El Rist jarrón de cristal de estilo moderno te ayudará a decorar cualquier mueble que desees. Su diseño sencillo sirve de complemento ideal. Lo puedes utilizar como elemento ornamental o bien como florero. Sin duda uno de nuestros best seller que no pueden faltar en tu hogar.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/123-jarron-de-cristal-transparente?channable=04a9546964003132330f","Transparente","Cristal","IT-0114","11 cm","30 cm","11 cm"
"Jarrón de cerámica azul Bla","El Bla jarrón azul de estilo natural aportará un toque de elegancia y sofisticación a tu hogar. Sus formas redondeadas y sencillas dan ese toque personal que estás buscando. Sin duda un accesorio decorativo que llenará de vida tu estancia.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/125-jarron-de-ceramica-azul?channable=04a95469640031323511","Azul","Ceramica","IT-0116A","13 cm","6 cm","13 cm"
"Jarrón de cerámica rosa Vas","El jarrón de cerámica rosa Vas es el objeto que destaca en cualquier sitio que la pongas, es bonito por si mismo, en una estantería, encima de un mueble de TV con una lámina, en la mesa del comedor... Tiene un estilo moderno y destaca su degradado de tonos neutros hasta conseguir ese rosa palo tan natural.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/128-jarron-de-ceramica-rosa?channable=04a95469640031323814","Rosa","Ceramica","IT-0118","15 cm","32 cm","15 cm"
"Jarrón de cerámica rosa Das","El jarrón de cerámica rosa Das es el objeto que destaca en cualquier sitio que la pongas, es bonito por si mismo, en una estantería, encima de un mueble de TV con una lámina, en la mesa del comedor... Tiene un estilo moderno y destaca su degradado de tonos neutros hasta conseguir ese rosa palo tan natural.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/129-jarron-de-ceramica-rosa?channable=04a95469640031323915","Rosa","Ceramica","IT-0119","16 cm","18 cm","16 cm"
"Jarrón de cerámica gris oscuro Totem","El Totem jarrón de color gris oscuro de estilo moderno está fabricado en cerámica. Un complemento perfecto para decorar tu salón, comedor o recibidor. Su diseño, elegante y a la vez sofisticado con la silueta de un rostro, aportará ese toque de distinción que hará única tu estancia.","Jarrón decorativo","Inicio > Decoración > Objetos de decoración > Jarrones","https://klasthome.com/es/jarrones/136-jarron-de-ceramica-gris-oscuro?channable=04a95469640031333693","Gris Oscuro","Ceramica","IT-0017GO","11 cm","26 cm","11 cm"
"Lámpara de techo para salón color natural Scar","La lámpara de techo Scar evoca el estilo de decoración de los países nórdicos aportando una bonita luz. Se presenta en varias versiones de acabado lo que te permite crear ambientes distintos. Es muy versátil ya que la puedes utlizar en el comedor, salón o dormitorio de tu casa. 
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/137-lampara-de-techo-para-salon-color-natural?channable=04a95469640031333794","Natural","Madera","CC-0001","6 cm","15 cm","6 cm"
"Lámpara de techo para salón blanco Tunn","La lámpara de techo Tunn evoca el estilo de decoración de los países nórdicos aportando una bonita luz. Se presenta en varias versiones de acabado lo que te permite crear ambientes distintos. Es muy versátil ya que la puedes utlizar en el comedor, salón o dormitorio de tu casa.
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/138-lampara-de-techo-para-salon-blanco?channable=04a95469640031333895","Blanco","Madera y metal","CC-0002B","6 cm","30 cm","6 cm"
"Lámpara de techo para salón negra Tunn","La lámpara de techo Tunn evoca el estilo de decoración de los países nórdicos aportando una bonita luz. Se presenta en varias versiones de acabado lo que te permite crear ambientes distintos. Es muy versátil ya que la puedes utlizar en el comedor, salón o dormitorio de tu casa. 
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/139-lampara-de-techo-para-salon-negra?channable=04a95469640031333996","Negro","Madera y metal","CC-0002NE","6 cm","30 cm","6 cm"
"Lámpara de techo para salón blanco Minimal","La lámpara de techo Minimal se presenta como un homenaje al estilo industrial. Su diseño sencillo es muy elegante y ofrece una distribución luminosa  uniforme. Es una luminaria que resulta ideal para aquellos que buscan funcionlidad. Consigue ese toque distinto colocándola en el comedor, salón o dormitorio de tu casa. 
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/140-lampara-de-techo-para-salon-blanco?channable=04a9546964003134300d","Blanco","Metal","CC-0003B","28 cm","24 cm","28 cm"
"Lámpara de techo para salón negra Minimal","La lámpara de techo Minimal se presenta como un homenaje al estilo industrial. Su diseño sencillo es muy elegante y ofrece una distribución luminosa  uniforme. Es una luminaria que resulta ideal para aquellos que buscan funcionlidad. La puedes encontrar en color negro o blanco, tú decides cuál se integra mejor en el salón, comedor o dormitorio de tu casa. 
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/141-lampara-de-techo-para-salon-negra?channable=04a9546964003134310e","Negro","Metal","CC-0003NE","120 cm","0 cm","0 cm"
"Lámpara de techo para salón blanco Netto","La lámpara de techo Netto es perfecta para completar cualquier estancia de tu casa, ya sea comedor, salón o dormitorio. Está fabricada en un fino metal y su diseño moderno permite combinarla con cualquier mueble y ambiente. Es una luminaria de tendencia que quedará ideal.
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/142-lampara-de-techo-para-salon-blanco?channable=04a9546964003134320f","Blanco","Metal","CC-0004B","29 cm","23 cm","29 cm"
